,시가,고가,저가,종가,거래량
2024-11-18 05:17:30.395257,2499.2559330492277,2532.1324833574145,2461.4902409305673,2500.0,342229
2024-11-19 05:17:30.395257,2472.9305062333538,2529.21163233384,2472.9305062333538,2513.667853825281,386652
2024-11-20 05:17:30.395257,2498.58569493858,2513.899325904185,2480.5686534628326,2511.4491824603374,690411
2024-11-21 05:17:30.395257,2525.7775875466305,2533.6809479263547,2504.568798135157,2528.9712755465866,549474
2024-11-22 05:17:30.395257,2552.7265163782054,2595.0578679531814,2552.7265163782054,2568.752748770917,479436
2024-11-25 05:17:30.395257,2584.949998857818,2592.992198370902,2532.8743273767195,2564.022303895757,792049
2024-11-26 05:17:30.395257,2541.0001800186546,2573.3219089871964,2531.0503048192318,2559.300991249865,688647
2024-11-27 05:17:30.395257,2595.2746780456177,2635.3123122840793,2571.455597160413,2600.9974509867156,560116
2024-11-28 05:17:30.395257,2623.973085672234,2626.696817614014,2612.7761450085372,2622.2589074554626,647022
2024-11-29 05:17:30.395257,2630.076893706391,2636.5090376240946,2599.261205176285,2611.2592030057895,619200
2024-12-02 05:17:30.395257,2607.8743529186927,2637.094728555269,2586.6334028203873,2626.732481677263,720706
2024-12-03 05:17:30.395257,2631.0865487341803,2633.506233187843,2590.2317301222656,2615.873104855157,319975
2024-12-04 05:17:30.395257,2605.131427567349,2631.6654907166308,2570.0716203699235,2604.998142042632,457795
2024-12-05 05:17:30.395257,2599.7822878618545,2627.4901953905464,2586.10779277557,2612.6037537923926,716495
2024-12-06 05:17:30.395257,2569.8476142491795,2584.633005195263,2537.902925589936,2563.923624176791,509373
2024-12-09 05:17:30.395257,2523.489137750309,2558.8740305673787,2483.943236487883,2520.9800101834394,704777
2024-12-10 05:17:30.395257,2500.538428234253,2525.9115848905135,2489.456060030765,2508.065343976612,497133
2024-12-11 05:17:30.395257,2484.7838232228964,2519.1350282746725,2457.8839611068306,2483.9169103264826,650541
2024-12-12 05:17:30.395257,2488.1616458025173,2503.812561045567,2473.7970457482993,2492.96451141623,480225
2024-12-13 05:17:30.395257,2472.9771084659305,2502.837270357726,2452.2279814500207,2471.574275714079,595286
2024-12-16 05:17:30.395257,2445.9749827356814,2479.8549961665376,2417.293548266995,2437.903927874775,589060
2024-12-17 05:17:30.395257,2494.47978896337,2494.47978896337,2447.3567056038346,2474.8539887450993,364324
2024-12-18 05:17:30.395257,2455.2136426051297,2485.365156068518,2451.712495543769,2470.5037819612394,476037
2024-12-19 05:17:30.395257,2499.7866225238186,2505.2780660296653,2433.1432655258413,2473.407320702926,688076
2024-12-20 05:17:30.395257,2415.5945425546556,2461.321691572211,2415.5945425546556,2439.4041984238916,435720
2024-12-23 05:17:30.395257,2425.5020321309735,2456.1221414659863,2405.3387724438094,2427.344205485542,466205
2024-12-24 05:17:30.395257,2438.4020827149534,2448.2206581636756,2412.283328583846,2431.2503506421813,743893
2024-12-25 05:17:30.395257,2407.860640489917,2429.5682829523553,2363.0414514531485,2404.4824404305537,396059
2024-12-26 05:17:30.395257,2407.200054980674,2436.985873950097,2388.1979697316824,2414.718274530936,787804
2024-12-27 05:17:30.395257,2398.9229548078847,2439.45780756842,2365.018212064337,2401.421901458829,793166
2024-12-30 05:17:30.395257,2389.712605707886,2422.62146848837,2389.455811141834,2395.617814816836,398317
2024-12-31 05:17:30.395257,2375.3805169001675,2410.246567912271,2355.3959184532046,2382.401032928746,501207
2025-01-01 05:17:30.395257,2438.0339120029125,2446.998525673945,2392.6448422613644,2427.7209280456655,597190
2025-01-02 05:17:30.395257,2432.9423653043486,2446.9721649736275,2403.321865015988,2428.60711356002,740280
2025-01-03 05:17:30.395257,2395.804537452917,2422.975473254489,2367.284649735219,2404.1337742552755,401459
2025-01-06 05:17:30.395257,2436.019068595733,2454.1449813863487,2407.1322213195676,2425.1109211826943,537697
2025-01-07 05:17:30.395257,2400.399213369828,2415.638927994599,2355.8604648417086,2396.716663957273,500422
2025-01-08 05:17:30.395257,2412.6871077094693,2430.431630070862,2351.2713303307164,2402.920890875671,608037
2025-01-09 05:17:30.395257,2364.453308402773,2405.0622999565167,2337.7388105918194,2357.0330285221526,401520
2025-01-10 05:17:30.395257,2317.260794849119,2360.309944251114,2308.819915490164,2326.9057611836542,687962
2025-01-13 05:17:30.395257,2326.116458015545,2352.1739954538084,2292.3723031817262,2332.649989503222,361272
